frame.time_epoch,ip.src,ip.dst,ipv6.src,ipv6.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,_ws.col.protocol
"1766041607.790045974",,,"2603:8000:6900:600::70","2a06:98c1:3107::6812:2715","58100","443",,,"TLSv1.2"
"1766041607.791276620",,,"2603:8000:6900:600::70","2a06:98c1:310b::ac40:9bd1","36200","443",,,"TLSv1.2"
"1766041607.791334724",,,"2603:8000:6900:600::70","2a06:98c1:310b::ac40:9bd1","36200","443",,,"TLSv1.2"
"1766041607.805960853",,,"2a06:98c1:3107::6812:2715","2603:8000:6900:600::70","443","58100",,,"TCP"
"1766041607.812044542",,,"2a06:98c1:310b::ac40:9bd1","2603:8000:6900:600::70","443","36200",,,"TCP"
"1766041607.812050325",,,"2a06:98c1:310b::ac40:9bd1","2603:8000:6900:600::70","443","36200",,,"TCP"
"1766041607.824555512",,,"2603:8000:6900:600::70","2a06:98c1:3100::6812:202f","38522","443",,,"SSL"
"1766041607.824601919",,,"2603:8000:6900:600::70","2a06:98c1:3100::6812:202f","38522","443",,,"TCP"
"1766041607.824631119",,,"2603:8000:6900:600::70","2a06:98c1:3100::6812:202f","38522","443",,,"TCP"
"1766041607.824635711",,,"2603:8000:6900:600::70","2a06:98c1:3100::6812:202f","38522","443",,,"TLSv1.2"
"1766041607.826298814",,,"2603:8000:6900:600::70","2a06:98c1:3100::6812:202f","38522","443",,,"TLSv1.2"
"1766041607.826306724",,,"2603:8000:6900:600::70","2a06:98c1:3100::6812:202f","38522","443",,,"TCP"
"1766041607.828148874",,,"2603:8000:6900:600::70","2a06:98c1:3100::6812:202f","38522","443",,,"TLSv1.2"
"1766041607.828157179",,,"2603:8000:6900:600::70","2a06:98c1:3100::6812:202f","38522","443",,,"TCP"
"1766041607.828692141",,,"2603:8000:6900:600::70","2a06:98c1:3100::6812:202f","38522","443",,,"TCP"
"1766041607.828697726",,,"2603:8000:6900:600::70","2a06:98c1:3100::6812:202f","38522","443",,,"TCP"
"1766041607.845821170",,,"2a06:98c1:3100::6812:202f","2603:8000:6900:600::70","443","38522",,,"TCP"
"1766041607.845882412",,,"2603:8000:6900:600::70","2a06:98c1:3100::6812:202f","38522","443",,,"TLSv1.2"
"1766041607.845899687",,,"2603:8000:6900:600::70","2a06:98c1:3100::6812:202f","38522","443",,,"TCP"
"1766041607.848931113",,,"2a06:98c1:3107::6812:2715","2603:8000:6900:600::70","443","58100",,,"TLSv1.2"
"1766041607.849017089",,,"2603:8000:6900:600::70","2a06:98c1:3107::6812:2715","58100","443",,,"TCP"
"1766041607.848933683",,,"2a06:98c1:3100::6812:202f","2603:8000:6900:600::70","443","38522",,,"TCP"
"1766041607.849055992",,,"2603:8000:6900:600::70","2a06:98c1:3100::6812:202f","38522","443",,,"TCP"
"1766041607.849060279",,,"2603:8000:6900:600::70","2a06:98c1:3100::6812:202f","38522","443",,,"TLSv1.2"
"1766041607.848935047",,,"2a06:98c1:3100::6812:202f","2603:8000:6900:600::70","443","38522",,,"TCP"
"1766041607.848936483",,,"2a06:98c1:3100::6812:202f","2603:8000:6900:600::70","443","38522",,,"TCP"
"1766041607.848937865",,,"2a06:98c1:3100::6812:202f","2603:8000:6900:600::70","443","38522",,,"TCP"
"1766041607.848939125",,,"2a06:98c1:3100::6812:202f","2603:8000:6900:600::70","443","38522",,,"TCP"
"1766041607.848940437",,,"2a06:98c1:3100::6812:202f","2603:8000:6900:600::70","443","38522",,,"TCP"
"1766041607.848941879",,,"2a06:98c1:3100::6812:202f","2603:8000:6900:600::70","443","38522",,,"TCP"
"1766041607.848945124",,,"2a06:98c1:3100::6812:202f","2603:8000:6900:600::70","443","38522",,,"TCP"
"1766041607.849779221",,,"2603:8000:6900:600::70","2a06:98c1:3100::6812:202f","38522","443",,,"TCP"
"1766041607.849812700",,,"2603:8000:6900:600::70","2a06:98c1:3100::6812:202f","38522","443",,,"TCP"
"1766041607.849890022",,,"2a06:98c1:310b::ac40:9bd1","2603:8000:6900:600::70","443","36200",,,"TLSv1.2"
"1766041607.849896740",,,"2a06:98c1:310b::ac40:9bd1","2603:8000:6900:600::70","443","36200",,,"TLSv1.2"
"1766041607.850596778",,,"2603:8000:6900:600::70","2a06:98c1:3100::6812:202f","38522","443",,,"TCP"
"1766041607.850607550",,,"2603:8000:6900:600::70","2a06:98c1:3100::6812:202f","38522","443",,,"TLSv1.2"
"1766041607.851154040",,,"2603:8000:6900:600::70","2a06:98c1:3100::6812:202f","38522","443",,,"TCP"
"1766041607.851163414",,,"2603:8000:6900:600::70","2a06:98c1:3100::6812:202f","38522","443",,,"TCP"
"1766041607.851473048",,,"2603:8000:6900:600::70","2a06:98c1:310b::ac40:9bd1","36200","443",,,"TCP"
"1766041607.851716014",,,"2603:8000:6900:600::70","2a06:98c1:3100::6812:202f","38522","443",,,"TLSv1.2"
"1766041607.851724261",,,"2603:8000:6900:600::70","2a06:98c1:3100::6812:202f","38522","443",,,"TCP"
"1766041607.853944594",,,"2603:8000:6900:600::70","2a06:98c1:3100::6812:202f","38522","443",,,"TLSv1.2"
"1766041607.853965651",,,"2603:8000:6900:600::70","2a06:98c1:3100::6812:202f","38522","443",,,"TCP"
"1766041607.855238609",,,"2603:8000:6900:600::70","2a06:98c1:3100::6812:202f","38522","443",,,"TLSv1.2"
"1766041607.863455096",,,"2a06:98c1:3100::6812:202f","2603:8000:6900:600::70","443","38522",,,"TCP"
"1766041607.864973409",,,"2603:8000:6900:600::70","2a06:98c1:3100::6812:202f","38522","443",,,"TLSv1.2"
"1766041607.865011122",,,"2603:8000:6900:600::70","2a06:98c1:3100::6812:202f","38522","443",,,"TCP"
"1766041607.865041726",,,"2603:8000:6900:600::70","2a06:98c1:3100::6812:202f","38522","443",,,"TCP"
"1766041607.865045515",,,"2603:8000:6900:600::70","2a06:98c1:3100::6812:202f","38522","443",,,"TLSv1.2"
"1766041607.866785512",,,"2603:8000:6900:600::70","2a06:98c1:3100::6812:202f","38522","443",,,"TLSv1.2"
"1766041607.866801782",,,"2603:8000:6900:600::70","2a06:98c1:3100::6812:202f","38522","443",,,"TLSv1.2"
"1766041607.869204597",,,"2a06:98c1:3100::6812:202f","2603:8000:6900:600::70","443","38522",,,"TCP"
"1766041607.869207430",,,"2a06:98c1:3100::6812:202f","2603:8000:6900:600::70","443","38522",,,"TCP"
"1766041607.869208683",,,"2a06:98c1:3100::6812:202f","2603:8000:6900:600::70","443","38522",,,"TCP"
"1766041607.869209710",,,"2a06:98c1:3100::6812:202f","2603:8000:6900:600::70","443","38522",,,"TCP"
"1766041607.869210933",,,"2a06:98c1:3100::6812:202f","2603:8000:6900:600::70","443","38522",,,"TCP"
"1766041607.869212050",,,"2a06:98c1:3100::6812:202f","2603:8000:6900:600::70","443","38522",,,"TCP"
"1766041607.869217715",,,"2a06:98c1:3100::6812:202f","2603:8000:6900:600::70","443","38522",,,"TCP"
