frame.time_epoch,ip.src,ip.dst,ipv6.src,ipv6.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,_ws.col.protocol
"1766114726.030088262","192.168.1.18","192.168.1.1",,,,,"49558","53","DNS"
"1766114726.030142976","192.168.1.18","192.168.1.1",,,,,"49558","53","DNS"
"1766114726.160252601","192.168.1.1","192.168.1.18",,,,,"53","49558","DNS"
"1766114726.160257614","192.168.1.1","192.168.1.18",,,,,"53","49558","DNS"
"1766114733.935514183",,,,,,,,,"ARP"
"1766114733.937672466",,,,,,,,,"ARP"
"1766114734.096294895","192.168.1.18","192.168.1.1",,,"46224","113",,,"TCP"
"1766114734.096429061","192.168.1.18","192.168.1.1",,,"46224","139",,,"TCP"
"1766114734.096474666","192.168.1.18","192.168.1.1",,,"46224","53",,,"TCP"
"1766114734.096496325","192.168.1.18","192.168.1.1",,,"46224","143",,,"TCP"
"1766114734.096512005","192.168.1.18","192.168.1.1",,,"46224","135",,,"TCP"
"1766114734.096525345","192.168.1.18","192.168.1.1",,,"46224","256",,,"TCP"
"1766114734.096538826","192.168.1.18","192.168.1.1",,,"46224","25",,,"TCP"
"1766114734.096552367","192.168.1.18","192.168.1.1",,,"46224","80",,,"TCP"
"1766114734.096564916","192.168.1.18","192.168.1.1",,,"46224","199",,,"TCP"
"1766114734.096589035","192.168.1.18","192.168.1.1",,,"46224","21",,,"TCP"
"1766114734.105047091","192.168.1.1","192.168.1.18",,,"113","46224",,,"TCP"
"1766114734.105049055","192.168.1.1","192.168.1.18",,,"139","46224",,,"TCP"
"1766114734.105049924","192.168.1.1","192.168.1.18",,,"53","46224",,,"TCP"
"1766114734.105128827","192.168.1.18","192.168.1.1",,,"46224","53",,,"TCP"
"1766114734.105050775","192.168.1.1","192.168.1.18",,,"143","46224",,,"TCP"
"1766114734.105051682","192.168.1.1","192.168.1.18",,,"135","46224",,,"TCP"
"1766114734.105223299","192.168.1.1","192.168.1.18",,,"256","46224",,,"TCP"
"1766114734.105224905","192.168.1.1","192.168.1.18",,,"25","46224",,,"TCP"
"1766114734.105225764","192.168.1.1","192.168.1.18",,,"80","46224",,,"TCP"
"1766114734.105262685","192.168.1.18","192.168.1.1",,,"46224","80",,,"TCP"
"1766114734.105230044","192.168.1.1","192.168.1.18",,,"199","46224",,,"TCP"
"1766114734.107417389","192.168.1.18","192.168.1.1",,,"46224","23",,,"TCP"
"1766114734.107434509","192.168.1.18","192.168.1.1",,,"46224","111",,,"TCP"
"1766114734.107445085","192.168.1.18","192.168.1.1",,,"46224","22",,,"TCP"
"1766114734.107454186","192.168.1.18","192.168.1.1",,,"46224","110",,,"TCP"
"1766114734.107463422","192.168.1.18","192.168.1.1",,,"46224","154",,,"TCP"
"1766114734.107473433","192.168.1.18","192.168.1.1",,,"46224","138",,,"TCP"
"1766114734.107482427","192.168.1.18","192.168.1.1",,,"46224","66",,,"TCP"
"1766114734.107492443","192.168.1.18","192.168.1.1",,,"46224","150",,,"TCP"
"1766114734.107501090","192.168.1.18","192.168.1.1",,,"46224","116",,,"TCP"
"1766114734.107510497","192.168.1.18","192.168.1.1",,,"46224","161",,,"TCP"
"1766114734.107523297","192.168.1.18","192.168.1.1",,,"46224","29",,,"TCP"
"1766114734.107532601","192.168.1.18","192.168.1.1",,,"46224","196",,,"TCP"
"1766114734.107541174","192.168.1.18","192.168.1.1",,,"46224","182",,,"TCP"
"1766114734.107549515","192.168.1.18","192.168.1.1",,,"46224","50",,,"TCP"
"1766114734.107557808","192.168.1.18","192.168.1.1",,,"46224","48",,,"TCP"
"1766114734.107567649","192.168.1.18","192.168.1.1",,,"46224","233",,,"TCP"
"1766114734.107576376","192.168.1.18","192.168.1.1",,,"46224","217",,,"TCP"
"1766114734.107585169","192.168.1.18","192.168.1.1",,,"46224","160",,,"TCP"
"1766114734.115553143","192.168.1.1","192.168.1.18",,,"111","46224",,,"TCP"
"1766114734.115622693","192.168.1.18","192.168.1.1",,,"46224","111",,,"TCP"
"1766114734.115554708","192.168.1.1","192.168.1.18",,,"110","46224",,,"TCP"
"1766114734.115555408","192.168.1.1","192.168.1.18",,,"154","46224",,,"TCP"
"1766114734.115556101","192.168.1.1","192.168.1.18",,,"138","46224",,,"TCP"
"1766114734.115556757","192.168.1.1","192.168.1.18",,,"66","46224",,,"TCP"
"1766114734.115557408","192.168.1.1","192.168.1.18",,,"150","46224",,,"TCP"
"1766114734.115558068","192.168.1.1","192.168.1.18",,,"116","46224",,,"TCP"
"1766114734.115558719","192.168.1.1","192.168.1.18",,,"161","46224",,,"TCP"
"1766114734.115559432","192.168.1.1","192.168.1.18",,,"29","46224",,,"TCP"
"1766114734.115560089","192.168.1.1","192.168.1.18",,,"196","46224",,,"TCP"
"1766114734.115560827","192.168.1.1","192.168.1.18",,,"182","46224",,,"TCP"
"1766114734.115561470","192.168.1.1","192.168.1.18",,,"50","46224",,,"TCP"
"1766114734.115750096","192.168.1.1","192.168.1.18",,,"48","46224",,,"TCP"
"1766114734.115751026","192.168.1.1","192.168.1.18",,,"233","46224",,,"TCP"
"1766114734.115751763","192.168.1.1","192.168.1.18",,,"217","46224",,,"TCP"
"1766114734.115755341","192.168.1.1","192.168.1.18",,,"160","46224",,,"TCP"
"1766114734.117894425","192.168.1.18","192.168.1.1",,,"46224","79",,,"TCP"
"1766114734.117923528","192.168.1.18","192.168.1.1",,,"46224","251",,,"TCP"
"1766114734.117936206","192.168.1.18","192.168.1.1",,,"46224","30",,,"TCP"
"1766114734.117946929","192.168.1.18","192.168.1.1",,,"46224","77",,,"TCP"
"1766114734.117960188","192.168.1.18","192.168.1.1",,,"46224","225",,,"TCP"
"1766114734.117972274","192.168.1.18","192.168.1.1",,,"46224","215",,,"TCP"
"1766114734.117984470","192.168.1.18","192.168.1.1",,,"46224","2",,,"TCP"
"1766114734.117996409","192.168.1.18","192.168.1.1",,,"46224","132",,,"TCP"
"1766114734.118006683","192.168.1.18","192.168.1.1",,,"46224","55",,,"TCP"
"1766114734.118017948","192.168.1.18","192.168.1.1",,,"46224","198",,,"TCP"
"1766114734.118030653","192.168.1.18","192.168.1.1",,,"46224","205",,,"TCP"
"1766114734.118041790","192.168.1.18","192.168.1.1",,,"46224","151",,,"TCP"
"1766114734.118052232","192.168.1.18","192.168.1.1",,,"46224","290",,,"TCP"
"1766114734.118063505","192.168.1.18","192.168.1.1",,,"46224","96",,,"TCP"
"1766114734.118074853","192.168.1.18","192.168.1.1",,,"46224","270",,,"TCP"
"1766114734.118087963","192.168.1.18","192.168.1.1",,,"46224","164",,,"TCP"
"1766114734.118099945","192.168.1.18","192.168.1.1",,,"46224","226",,,"TCP"
"1766114734.118110821","192.168.1.18","192.168.1.1",,,"46224","27",,,"TCP"
"1766114734.118121070","192.168.1.18","192.168.1.1",,,"46224","283",,,"TCP"
"1766114734.118132067","192.168.1.18","192.168.1.1",,,"46224","266",,,"TCP"
"1766114734.118143707","192.168.1.18","192.168.1.1",,,"46224","12",,,"TCP"
"1766114734.118154931","192.168.1.18","192.168.1.1",,,"46224","4",,,"TCP"
"1766114734.118165945","192.168.1.18","192.168.1.1",,,"46224","249",,,"TCP"
"1766114734.118177678","192.168.1.18","192.168.1.1",,,"46224","136",,,"TCP"
"1766114734.118188698","192.168.1.18","192.168.1.1",,,"46224","174",,,"TCP"
"1766114734.118199872","192.168.1.18","192.168.1.1",,,"46224","163",,,"TCP"
"1766114734.118212996","192.168.1.18","192.168.1.1",,,"46224","287",,,"TCP"
"1766114734.118224114","192.168.1.18","192.168.1.1",,,"46224","105",,,"TCP"
"1766114734.118238108","192.168.1.18","192.168.1.1",,,"46224","16",,,"TCP"
"1766114734.118392646","192.168.1.18","192.168.1.1",,,"46224","212",,,"TCP"
"1766114734.118404479","192.168.1.18","192.168.1.1",,,"46224","220",,,"TCP"
"1766114734.118418056","192.168.1.18","192.168.1.1",,,"46224","14",,,"TCP"
"1766114734.122104659","192.168.1.1","192.168.1.18",,,"79","46224",,,"TCP"
"1766114734.122107210","192.168.1.1","192.168.1.18",,,"251","46224",,,"TCP"
"1766114734.122108355","192.168.1.1","192.168.1.18",,,"30","46224",,,"TCP"
"1766114734.122109486","192.168.1.1","192.168.1.18",,,"77","46224",,,"TCP"
"1766114734.122110568","192.168.1.1","192.168.1.18",,,"225","46224",,,"TCP"
"1766114734.122111546","192.168.1.1","192.168.1.18",,,"215","46224",,,"TCP"
"1766114734.122112524","192.168.1.1","192.168.1.18",,,"2","46224",,,"TCP"
"1766114734.122113455","192.168.1.1","192.168.1.18",,,"132","46224",,,"TCP"
"1766114734.122114537","192.168.1.1","192.168.1.18",,,"55","46224",,,"TCP"
"1766114734.122115748","192.168.1.1","192.168.1.18",,,"198","46224",,,"TCP"
"1766114734.122116809","192.168.1.1","192.168.1.18",,,"205","46224",,,"TCP"
"1766114734.122117851","192.168.1.1","192.168.1.18",,,"151","46224",,,"TCP"
"1766114734.122119150","192.168.1.1","192.168.1.18",,,"290","46224",,,"TCP"
"1766114734.122120291","192.168.1.1","192.168.1.18",,,"96","46224",,,"TCP"
"1766114734.122121556","192.168.1.1","192.168.1.18",,,"270","46224",,,"TCP"
"1766114734.122129020","192.168.1.1","192.168.1.18",,,"164","46224",,,"TCP"
"1766114734.122404929","192.168.1.1","192.168.1.18",,,"226","46224",,,"TCP"
"1766114734.122406268","192.168.1.1","192.168.1.18",,,"27","46224",,,"TCP"
"1766114734.122407169","192.168.1.1","192.168.1.18",,,"283","46224",,,"TCP"
"1766114734.122407995","192.168.1.1","192.168.1.18",,,"266","46224",,,"TCP"
"1766114734.122408898","192.168.1.1","192.168.1.18",,,"12","46224",,,"TCP"
"1766114734.122533236","192.168.1.1","192.168.1.18",,,"4","46224",,,"TCP"
"1766114734.122534308","192.168.1.1","192.168.1.18",,,"249","46224",,,"TCP"
"1766114734.122535154","192.168.1.1","192.168.1.18",,,"136","46224",,,"TCP"
"1766114734.122536121","192.168.1.1","192.168.1.18",,,"174","46224",,,"TCP"
"1766114734.122537030","192.168.1.1","192.168.1.18",,,"163","46224",,,"TCP"
"1766114734.122537939","192.168.1.1","192.168.1.18",,,"287","46224",,,"TCP"
"1766114734.122538841","192.168.1.1","192.168.1.18",,,"105","46224",,,"TCP"
"1766114734.122539739","192.168.1.1","192.168.1.18",,,"16","46224",,,"TCP"
"1766114734.122540639","192.168.1.1","192.168.1.18",,,"212","46224",,,"TCP"
"1766114734.122541568","192.168.1.1","192.168.1.18",,,"220","46224",,,"TCP"
"1766114734.122544201","192.168.1.1","192.168.1.18",,,"14","46224",,,"TCP"
"1766114734.124776906","192.168.1.18","192.168.1.1",,,"46224","218",,,"TCP"
"1766114734.124804025","192.168.1.18","192.168.1.1",,,"46224","300",,,"TCP"
"1766114734.124816948","192.168.1.18","192.168.1.1",,,"46224","28",,,"TCP"
"1766114734.124826035","192.168.1.18","192.168.1.1",,,"46224","52",,,"TCP"
"1766114734.124834728","192.168.1.18","192.168.1.1",,,"46224","41",,,"TCP"
"1766114734.124843242","192.168.1.18","192.168.1.1",,,"46224","273",,,"TCP"
"1766114734.124851716","192.168.1.18","192.168.1.1",,,"46224","238",,,"TCP"
"1766114734.124862096","192.168.1.18","192.168.1.1",,,"46224","201",,,"TCP"
"1766114734.124870932","192.168.1.18","192.168.1.1",,,"46224","39",,,"TCP"
"1766114734.124880389","192.168.1.18","192.168.1.1",,,"46224","34",,,"TCP"
"1766114734.124888760","192.168.1.18","192.168.1.1",,,"46224","94",,,"TCP"
"1766114734.124902574","192.168.1.18","192.168.1.1",,,"46224","20",,,"TCP"
"1766114734.124917881","192.168.1.18","192.168.1.1",,,"46224","43",,,"TCP"
"1766114734.124934220","192.168.1.18","192.168.1.1",,,"46224","236",,,"TCP"
"1766114734.124949567","192.168.1.18","192.168.1.1",,,"46224","272",,,"TCP"
"1766114734.124964233","192.168.1.18","192.168.1.1",,,"46224","76",,,"TCP"
"1766114734.124980282","192.168.1.18","192.168.1.1",,,"46224","45",,,"TCP"
"1766114734.124996356","192.168.1.18","192.168.1.1",,,"46224","46",,,"TCP"
"1766114734.125024939","192.168.1.18","192.168.1.1",,,"46224","127",,,"TCP"
"1766114734.125040801","192.168.1.18","192.168.1.1",,,"46224","158",,,"TCP"
"1766114734.125052570","192.168.1.18","192.168.1.1",,,"46224","107",,,"TCP"
"1766114734.125064341","192.168.1.18","192.168.1.1",,,"46224","60",,,"TCP"
"1766114734.125075280","192.168.1.18","192.168.1.1",,,"46224","98",,,"TCP"
"1766114734.125088011","192.168.1.18","192.168.1.1",,,"46224","170",,,"TCP"
"1766114734.125100185","192.168.1.18","192.168.1.1",,,"46224","247",,,"TCP"
"1766114734.125110993","192.168.1.18","192.168.1.1",,,"46224","232",,,"TCP"
"1766114734.125121735","192.168.1.18","192.168.1.1",,,"46224","88",,,"TCP"
"1766114734.125133316","192.168.1.18","192.168.1.1",,,"46224","250",,,"TCP"
"1766114734.125144656","192.168.1.18","192.168.1.1",,,"46224","222",,,"TCP"
"1766114734.125164428","192.168.1.18","192.168.1.1",,,"46224","68",,,"TCP"
"1766114734.125175420","192.168.1.18","192.168.1.1",,,"46224","112",,,"TCP"
"1766114734.125186536","192.168.1.18","192.168.1.1",,,"46224","263",,,"TCP"
"1766114734.125200801","192.168.1.18","192.168.1.1",,,"46224","64",,,"TCP"
"1766114734.125214590","192.168.1.18","192.168.1.1",,,"46224","200",,,"TCP"
"1766114734.125226949","192.168.1.18","192.168.1.1",,,"46224","234",,,"TCP"
"1766114734.125259368","192.168.1.18","192.168.1.1",,,"46224","230",,,"TCP"
"1766114734.125499152","192.168.1.18","192.168.1.1",,,"46224","292",,,"TCP"
"1766114734.125570911","192.168.1.18","192.168.1.1",,,"46224","89",,,"TCP"
"1766114734.125585832","192.168.1.18","192.168.1.1",,,"46224","56",,,"TCP"
"1766114734.125599073","192.168.1.18","192.168.1.1",,,"46224","227",,,"TCP"
"1766114734.125609947","192.168.1.18","192.168.1.1",,,"46224","179",,,"TCP"
"1766114734.125623621","192.168.1.18","192.168.1.1",,,"46224","15",,,"TCP"
"1766114734.125636154","192.168.1.18","192.168.1.1",,,"46224","65",,,"TCP"
"1766114734.125651252","192.168.1.18","192.168.1.1",,,"46224","19",,,"TCP"
"1766114734.125663691","192.168.1.18","192.168.1.1",,,"46224","130",,,"TCP"
"1766114734.125674872","192.168.1.18","192.168.1.1",,,"46224","260",,,"TCP"
"1766114734.125689808","192.168.1.18","192.168.1.1",,,"46224","137",,,"TCP"
"1766114734.125701562","192.168.1.18","192.168.1.1",,,"46224","159",,,"TCP"
"1766114734.125711380","192.168.1.18","192.168.1.1",,,"46224","210",,,"TCP"
"1766114734.125729239","192.168.1.18","192.168.1.1",,,"46224","144",,,"TCP"
"1766114734.127898934","192.168.1.18","192.168.1.1",,,"46224","246",,,"TCP"
"1766114734.127950024","192.168.1.18","192.168.1.1",,,"46224","149",,,"TCP"
"1766114734.127974730","192.168.1.18","192.168.1.1",,,"46224","18",,,"TCP"
"1766114734.127990231","192.168.1.18","192.168.1.1",,,"46224","103",,,"TCP"
"1766114734.128033920","192.168.1.1","192.168.1.18",,,"218","46224",,,"TCP"
"1766114734.128064503","192.168.1.18","192.168.1.1",,,"46224","36",,,"TCP"
"1766114734.128076884","192.168.1.18","192.168.1.1",,,"46224","104",,,"TCP"
"1766114734.128036564","192.168.1.1","192.168.1.18",,,"300","46224",,,"TCP"
"1766114734.128088692","192.168.1.18","192.168.1.1",,,"46224","142",,,"TCP"
"1766114734.128037800","192.168.1.1","192.168.1.18",,,"28","46224",,,"TCP"
"1766114734.128038952","192.168.1.1","192.168.1.18",,,"52","46224",,,"TCP"
"1766114734.128040088","192.168.1.1","192.168.1.18",,,"41","46224",,,"TCP"
"1766114734.128100278","192.168.1.18","192.168.1.1",,,"46224","211",,,"TCP"
"1766114734.128041217","192.168.1.1","192.168.1.18",,,"273","46224",,,"TCP"
"1766114734.128042339","192.168.1.1","192.168.1.18",,,"238","46224",,,"TCP"
"1766114734.128043475","192.168.1.1","192.168.1.18",,,"201","46224",,,"TCP"
"1766114734.128113970","192.168.1.18","192.168.1.1",,,"46224","268",,,"TCP"
"1766114734.128044719","192.168.1.1","192.168.1.18",,,"39","46224",,,"TCP"
"1766114734.128045874","192.168.1.1","192.168.1.18",,,"34","46224",,,"TCP"
"1766114734.128125834","192.168.1.18","192.168.1.1",,,"46224","171",,,"TCP"
"1766114734.128047019","192.168.1.1","192.168.1.18",,,"94","46224",,,"TCP"
"1766114734.128048237","192.168.1.1","192.168.1.18",,,"20","46224",,,"TCP"
"1766114734.128169432","192.168.1.18","192.168.1.1",,,"46224","202",,,"TCP"
"1766114734.128183893","192.168.1.1","192.168.1.18",,,"43","46224",,,"TCP"
"1766114734.128189258","192.168.1.1","192.168.1.18",,,"236","46224",,,"TCP"
"1766114734.128203048","192.168.1.18","192.168.1.1",,,"46224","162",,,"TCP"
"1766114734.128215936","192.168.1.18","192.168.1.1",,,"46224","6",,,"TCP"
"1766114734.128227527","192.168.1.18","192.168.1.1",,,"46224","140",,,"TCP"
"1766114734.130567121","192.168.1.18","192.168.1.1",,,"46224","204",,,"TCP"
"1766114734.130632966","192.168.1.18","192.168.1.1",,,"46224","17",,,"TCP"
"1766114734.130654193","192.168.1.18","192.168.1.1",,,"46224","235",,,"TCP"
"1766114734.130667187","192.168.1.18","192.168.1.1",,,"46224","274",,,"TCP"
"1766114734.130679053","192.168.1.18","192.168.1.1",,,"46224","207",,,"TCP"
"1766114734.130701851","192.168.1.18","192.168.1.1",,,"46224","1",,,"TCP"
"1766114734.130715424","192.168.1.18","192.168.1.1",,,"46224","177",,,"TCP"
"1766114734.130730878","192.168.1.18","192.168.1.1",,,"46224","83",,,"TCP"
"1766114734.130766442","192.168.1.18","192.168.1.1",,,"46224","255",,,"TCP"
"1766114734.130847774","192.168.1.18","192.168.1.1",,,"46224","128",,,"TCP"
"1766114734.130863257","192.168.1.18","192.168.1.1",,,"46224","176",,,"TCP"
"1766114734.130875194","192.168.1.18","192.168.1.1",,,"46224","109",,,"TCP"
"1766114734.130887232","192.168.1.18","192.168.1.1",,,"46224","59",,,"TCP"
"1766114734.130899989","192.168.1.18","192.168.1.1",,,"46224","31",,,"TCP"
"1766114734.130914440","192.168.1.18","192.168.1.1",,,"46224","289",,,"TCP"
"1766114734.130930225","192.168.1.18","192.168.1.1",,,"46224","119",,,"TCP"
"1766114734.130962858","192.168.1.18","192.168.1.1",,,"46224","74",,,"TCP"
"1766114734.130974627","192.168.1.18","192.168.1.1",,,"46224","121",,,"TCP"
"1766114734.130988563","192.168.1.18","192.168.1.1",,,"46224","216",,,"TCP"
